Type of vehicle,Name,Suited for,Age group of people buy,Body type,Fuel type,Price (in lakh),Keywords
Loader,LuiGong,"Personal,Public","25,28,31,36",Dozer,Diesel,1200," Auto Track Tensioning, High Working Efficiency"
Truck,Tata,"Personal,Public","21,32,45,57,68",Deck body,Diesel,4.4,"Hydraulic Brakes, ridid axle, paraboicspring"
Auto,Atul Gemini,"Personal,Public","25,28,31,36",Standard,"LPG,Petrol",2.15,"High milege,cheap,low maintainence,durable,economical"
Loader,LuiGong,"Personal,Public","25,28,31,36",Dozer,Diesel,66," Designed Radiator Increase Cooling Efficiency, Automatic Greasing System Fitted"
Truck,Tata,"Personal,Public","25,28,31,36",Full Body,Diesel,30.5,"Air brakes, Extra Heavy Duty Forged I Beam, Reverse Elliot Type"
Auto,Atul GEM,"Personal,Public","25,28,31,36",Standard,"CNG,Petrol",2.07,"High milege,cheap,low maintainence,durable,economical"
Loader,Komastu,"Personal,Public","25,28,31,36",Dozer,Diesel,54," High Capacity Air Conditioning System, Excellent Visibility Without ROPS Post"
Truck,Tata,"Personal,Public","21,32,45,57,68",Full Body,Diesel,7.2,Vacuum Assisted Dual Circuit Hydraulic with Tandem Master Cylinder
Auto,Atul,"Personal,Public","25,28,31,36",Standard,"CNG,Petrol",2.19,"High milege,cheap,low maintainence,durable,economical"
Loader,ACE,"Personal,Public","21,32,45,57,68",Medium wheel,Diesel,22," Cheap, durable, Low maintainance"
Truck,Ashok Leyland,"Personal,Public","25,28,31,36",Box body,Diesel,18.2,"durable,economical"
Auto,TukTuk,"Personal,Public","21,32,45,57,68",Standard,"LPG,Petrol",2.03,"High milege,cheap,low maintainence,durable,economical"
Loader,Volvo,"Personal,Public","25,28,31,36",Large Wheel,Diesel,98," Torque multiplication 2.85:1, Maximum speed, forward/reverse"
Truck,Ashok Leyland,"Personal,Public","25,28,31,36",Deck body,Diesel,18,".H,series Common Rail injection system"
Auto,Alfa,"Personal,Public","21,32,45,57,68",Standard,Electric,1.2,"High milege,cheap,low maintainence,durable,economical"
Loader,Volvo,"Personal,Public","25,28,31,36",Medium wheel,Diesel,35," Cheap, durable, Low maintainance"
Truck,Ashok Leyland,"Personal,Public","21,32,45,57,68",Deck body,Diesel,5.3,",1.5L Turbo Diseal comman Rail Engine"
Auto,TukTuk,"Personal,Public","25,28,31,36",Standard,"CNG,Petrol",2.2,"High milege,cheap,low maintainence,durable,economical"
Loader,LuiGong,"Personal,Public","25,28,31,36",Medium wheel,Diesel,78, most efficiently
Truck,Ashok Leyland,"Personal,Public","21,32,45,57,68",Deck body,Diesel,12.5,H-series- Turbocharged Intercooled
Auto,TukTuk,Personal-Public,25-28-31-36,Standard,CNG-Petrol,2.05,High milege-cheap-low maintainence-durable-economical
Loader,Tata,Personal-Public,25-28-31-36,Medium wheel,Diesel,42.5, rich industry experience & knowledge
Truck,Ashok Leyland,Personal-Public,21-32-45-57-68,Box body,Diesel,8.8,-Parabolic - 3 leafs- overslung suspension with double acting shock absorbers
Auto,TukTuk,Personal-Public,25-28-31-36,Standard,CNG-Petrol,2.15,High milege-cheap-low maintainence-durable-economical
Car,Volkswagen_Touran_19_TDI_DPF_Navi_PDC_Tempomat_AHK_TUV_Neu,Public,25-28-31-36,Bus,Diesel,14,High milege-cheap-low maintainence-durable-economical
Loader,Monitau,Personal-Public,30-32-34,Compact Wheel,Diesel,46, Cheap- durable- Low maintainance
Truck,Ashok Leyland,Personal-Public,25-28-31-36,Box body,Diesel,27.8,#NAME?
Auto,Baxy,Personal-Public,25-28-31-36,Standard,LPG-Petrol,2.3,High milege-cheap-low maintainence-durable-economical
Loader,L&T,Personal-Public,30-32-34,Medium wheel,Diesel,3,cheap- low performance
Truck,BHARATBENZ,Personal-Public,25-28-31-36,Cabin with chassis,Diesel,17.5,Pneumatic- Foot operated- Dual line with ABS
Auto,Hero,Personal-Public,21-32-45-57-68,Compact  ,Electrical,1.1,High milege-cheap-low maintainence-durable-economical
